Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
21-May;;;3;;;;9;;;;13;;;;2;;;;2;;3;1;;3;;;;;;;;;;;;36
22-May;;;1;;;;18;;1;;15;;;4;3;;;;1;;1;1;;2;;1;;;;;;;;;;48
23-May;;;;;;;1;;2;;15;;;;1;;;1;1;1;2;;;;;;;;;1;;;;;;25
24-May;;;;;;;;;1;;12;;;;1;;;;2;;1;1;;2;;;;1;;;;;;;;21
25-May;;;;;;;;;;;9;;;2;2;;;;;;3;;;3;;;;;;;;;;;;19
26-May;;;;;;;;;9;;9;;;;2;;;;;;4;;;2;;1;;;;;;;;;;27
27-May;;;;;;;8;;5;;19;;;;8;1;1;1;;1;7;1;;;;2;;1;;;;;;;;55
28-May;;;;;;;;;;;14;;;;;;;1;;;5;2;;;;;;;1;;;;;;;23
29-May;;;3;;;;;;;;11;;;;1;;1;;2;;1;;;3;;;;1;;;;;;1;;24
30-May;;;;;;;7;;2;;27;;;2;5;;;;4;;;5;;1;;;;;;;;;;;;53
31-May;;;;;;;1;;;;24;;;;3;;1;;3;;2;;;2;;;;4;;;;;;;;40
1-Jun;;1;;;;;1;;;;16;;;;6;;;;;;;;;1;;;;3;;;;;;;;28
2-Jun;;;;;;;;;7;;6;;;1;1;;;2;;;;;;;;;;1;;;1;;;3;;22
3-Jun;;;;;;;5;;3;1;11;;;4;3;;;1;1;;3;1;;;;1;;1;;;;;;;;35
4-Jun;;;;;;;;;1;;8;;;;3;;;4;;;;1;;4;;;;2;;;;;;;;23
5-Jun;;;1;;1;;1;;3;5;9;;;2;;;;3;3;2;;3;1;14;;;;1;;;;;;;;49
6-Jun;;;1;;1;;;;;;17;;;;3;;;1;4;;3;;;1;;;;;;;;;;;;31
7-Jun;;;;;;;5;;;22;20;;;;1;;;;;;2;;;;;;;;;;;;;;;50
8-Jun;;;;;;;;;3;;19;;;2;3;;;1;;;2;2;;;;;;;;;;;;;;32
9-Jun;;;1;;;;4;;;5;12;;;;4;;1;3;;2;;4;;3;;;;;;;;;;1;;40
10-Jun;;;1;;;;2;;;;16;;;1;4;;;3;4;;3;1;;1;;;;;;;;;;;;36
11-Jun;;;2;;;;2;;;;23;;;;4;;;3;;;2;3;;;;;;1;1;;;;;;;41
12-Jun;;;1;;;;3;;;;22;;1;;4;;;;1;;;1;;12;;;;2;1;;;;;;;48
13-Jun;;1;3;;1;;8;;;;14;;;1;4;;;2;1;;4;2;;;;;;;;1;;;;1;;43
14-Jun;;;;;1;;7;;;1;11;;;3;5;;;;7;1;;;;6;;1;;;;;;;;;;43
15-Jun;;;;1;;;2;;1;17;16;;;4;6;;;2;2;;;5;;7;;;;;1;;;;;;;64
16-Jun;;;;1;;;;;;;21;;;;4;;;;;;3;2;;;;;;;2;;;;;;;33
17-Jun;1;;;;;;6;;7;;14;;;;6;;;6;4;;;1;;;;;;;;;;;;;;45
18-Jun;;;;;;;15;;2;9;13;;;6;9;;;2;3;;2;;;;;;2;;;;;;;;;63
19-Jun;;;;;2;;;;;13;13;;;;2;;;;2;;2;;;;;;;;;;;;;;;34
20-Jun;;1;;;;;7;;;;20;;;2;3;;;1;1;;3;2;;15;;;;1;;;;;;;;56
21-Jun;;2;;;;;1;;;;17;;1;;10;;;;2;;1;2;;;;;;;;;;;;;;36
22-Jun;;;;;;;;;;1;13;;;3;;;;1;3;;2;3;;7;;;;2;;;;;;;;35
