Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
5 Nov;2;3;;;;2;15;;9;15;15;;1;1;1;;1;1;3;4;;4;;;1;2;2;;;1;4;;2;;;89
6 Nov;;3;7;;;1;18;;;12;17;;;3;2;1;;2;1;6;2;4;2;;2;3;7;;1;;;;;;;94
7 Nov;3;;2;;2;2;11;;;28;14;;4;1;2;;7;;2;8;2;2;;;;1;5;;1;;;1;;;;98
8 Nov;;;3;;;1;8;;1;7;15;;6;;2;;4;2;3;6;1;2;1;;;6;4;;;;2;;;;;74
9 Nov;;1;6;;;2;12;;2;10;14;;3;1;1;;2;;3;2;1;2;;1;1;6;2;;1;2;;;;;;75
10 Nov;;;;1;;;13;;5;15;20;;4;2;;;;;1;4;2;3;;1;1;;;;;;;;;;;72
11 Nov;;2;;;1;1;12;1;5;15;18;;2;;2;;;;5;;;1;;;1;;9;;;;;;;;;75
12 Nov;;1;;2;2;2;10;2;21;12;19;;4;1;1;1;6;;4;2;;2;;;;;3;;;;1;1;;;;97
13 Nov;;;;;;2;16;1;7;32;12;;1;2;2;;1;;2;;6;5;;;3;2;3;1;3;;;;3;;;104
14 Nov;;;;;1;1;12;2;2;40;25;;9;1;1;;;;4;;3;1;2;2;1;;1;;;;1;;;2;;111
15 Nov;;;;;2;1;5;;;21;15;;6;;;;1;;1;4;;;;;;4;3;;;;;;;;;63
16 Nov;;;;;;;7;;23;10;14;;2;;1;;2;;3;3;2;4;1;;2;1;8;;;1;;;;1;;85
17 Nov;1;;;;1;1;4;2;23;41;5;;;1;2;;4;;2;5;;1;;1;1;;2;;;;;;;;;97
18 Nov;23;1;;;1;2;8;;4;18;27;;3;1;2;1;;1;3;7;1;2;;;1;;2;1;;;;1;;;;110
19 Nov;;;;1;2;;14;1;9;8;16;;6;5;2;;;;5;2;3;2;;2;2;5;2;2;4;4;;;;;;97
20 Nov;;2;4;;;2;15;;2;7;25;;;1;1;;;4;2;3;;1;2;;;;5;;;;;2;;;;78
21 Nov;;;3;;;2;15;1;;15;16;;6;1;1;1;;;1;9;;3;1;5;4;;5;;3;3;;1;;;;96
22 Nov;;1;;;1;4;16;1;1;20;24;;2;3;3;2;5;;1;7;2;3;1;4;1;;5;;;1;;;2;;;110
23 Nov;;3;2;1;4;4;17;;2;10;35;;9;3;2;1;2;1;2;1;1;1;1;2;3;7;2;1;;1;;;;;;118
24 Nov;;1;7;;;6;19;1;4;13;31;;5;;2;;2;;4;;3;2;;;;4;3;1;;1;;;;;;109
25 Nov;5;3;2;;1;3;17;;6;9;34;;2;;2;;;2;;8;;3;1;2;4;4;5;;;;;;1;;;114
26 Nov;6;5;2;;1;1;14;;4;35;26;;8;2;2;1;;;3;3;2;;;;2;5;4;;;;;1;;;;127
27 Nov;1;3;4;;1;3;15;1;5;51;39;;6;4;1;1;;1;3;3;;4;5;1;2;7;8;;;;;;;;;169
28 Nov;1;1;2;1;3;4;15;;5;19;32;;3;2;1;;4;1;3;5;;5;1;;1;3;9;;1;2;;;;1;;125
29 Nov;4;1;5;;;1;19;;6;73;29;;1;2;2;;;1;1;1;3;3;3;1;1;3;6;;;2;;;;1;;169
30 Nov;;4;5;;;;19;;11;23;32;;5;;2;;;2;6;2;3;3;1;2;;3;6;;;1;;;;;;130
1 Dec;6;3;5;1;1;1;23;;13;7;31;;1;4;3;;1;1;6;9;;2;;3;;7;2;;;1;3;;2;;;136
2 Dec;1;1;1;;;1;23;;4;23;30;;1;1;3;;;1;3;8;;2;1;2;1;2;5;1;;;;1;2;;;118
3 Dec;;5;5;1;2;1;26;2;21;16;25;;3;2;3;;1;1;5;9;2;4;2;1;4;7;4;1;;;1;;2;;;156
4 Dec;6;4;5;;3;;23;;4;5;33;;5;;2;;;2;5;9;5;2;3;2;;3;2;;;;;;1;;;124
5 Dec;5;1;3;2;2;2;23;;4;10;24;1;;4;;;;;4;8;1;1;;2;;6;4;;;;;2;1;;;110
6 Dec;;2;5;;3;2;23;2;7;38;34;;2;;1;;4;1;8;6;;3;3;;1;1;3;;;;;;1;1;;151
7 Dec;;2;4;1;1;1;24;;9;8;34;1;7;5;1;;5;2;3;2;2;3;;4;;1;5;;;1;;;1;;;127
8 Dec;1;;3;;1;1;21;1;6;6;49;;3;2;2;;3;1;;9;2;1;;3;1;5;7;1;;3;;1;;;;133
9 Dec;;5;4;1;1;1;18;;16;37;38;;6;4;3;5;;1;2;3;2;1;;;1;3;6;;7;1;;;2;3;;171
10 Dec;;4;3;;2;7;18;;32;31;35;;7;;2;;;;2;1;1;3;;1;2;5;5;;;1;1;1;1;;;165
12 Dec;1;2;2;;2;1;17;1;6;25;41;;3;8;2;;;1;6;1;1;1;1;6;1;6;4;;1;;;;2;;;142
13 Dec;;2;1;1;2;2;16;1;5;48;47;;4;4;1;8;3;2;3;1;3;;;4;;4;3;;;;;;1;;;166
14 Dec;2;;1;;2;1;17;;15;16;41;;4;2;2;;2;;4;4;1;4;;3;;12;3;;;1;;;;;;137
15 Dec;2;5;3;1;;3;22;;8;23;49;1;3;4;2;2;;1;3;4;1;1;3;1;2;4;3;;1;3;;;;;;155
16 Dec;;2;1;3;;3;22;;1;24;47;;8;;;;1;;5;1;1;;;2;1;8;4;;;;;;2;1;;137
17 Dec;;2;2;;2;2;20;;11;30;39;;5;3;2;;;1;1;1;1;1;1;4;2;3;5;;;;4;;;;;142
18 Dec;;4;;1;1;2;19;1;1;18;47;;3;;2;;2;;1;2;4;1;1;2;2;1;9;;;;;;;;;124
19 Dec;;1;6;1;2;3;20;;1;24;48;;6;2;2;;;1;3;5;2;2;1;4;;5;4;2;;;;;;;;145
20 Dec;1;4;;1;2;8;19;1;1;73;60;;10;5;2;1;;;5;5;5;4;1;5;2;2;2;;;;;;2;;;221
21 Dec;;1;7;;1;7;15;;4;84;44;;5;3;3;1;;2;2;5;5;2;;7;1;;4;;;;;;2;;;205
22 Dec;;1;;1;1;9;14;;3;45;49;1;6;1;3;3;2;2;2;10;;5;3;5;1;1;1;1;;;;;1;1;;172
23 Dec;2;2;6;;2;;15;2;2;31;50;;5;2;2;1;;1;3;5;2;4;3;1;1;1;3;;;1;;1;1;2;;151
24 Dec;;3;;;;8;16;;10;53;46;;6;3;2;3;1;1;4;;2;5;;4;3;1;4;;1;;;3;;2;;181
25 Dec;;5;5;2;2;12;21;;;91;78;;10;2;2;3;;1;6;1;1;1;1;2;1;4;7;;;;;;;;;258
26 Dec;1;4;2;1;1;6;14;1;;20;58;;9;2;1;;2;1;3;2;1;;;4;1;3;8;;;;;1;1;;;147
27 Dec;;3;;1;1;3;22;;43;80;48;;3;4;;6;1;4;4;4;3;2;;3;1;4;2;;;;;1;;;;243
28 Dec;;4;3;;1;4;21;;;84;54;;6;1;1;;3;;2;;3;2;3;4;2;5;4;;6;;;1;1;;;215
29 Dec;;2;5;1;1;10;18;2;2;91;64;1;4;2;2;4;3;;1;7;4;1;11;3;;4;3;2;2;;;1;;;;251
30 Dec;;9;7;1;;11;21;1;2;79;61;;7;;3;1;;1;4;1;4;4;2;8;;6;4;;;;;;4;;;241
31 Dec;;4;;1;;;21;;11;61;65;;5;1;1;1;;2;1;2;1;;2;1;;5;3;;;;1;;2;3;;194
1 Jan;;1;1;1;;13;20;;3;38;73;;12;;1;1;;4;2;1;;2;;5;2;3;3;1;;1;1;2;;;;191
2 Jan;;5;6;;;2;26;1;1;86;59;;4;1;1;;1;2;2;1;12;2;2;2;1;;6;;2;1;;;;;;226
3 Jan;2;2;;;13;10;;2;63;50;;4;4;2;2;;;;2;;;2;6;3;3;5;;;;1;;3;;;;179
4 Jan;;7;5;3;1;2;21;1;2;38;56;;6;1;2;1;;2;;4;;1;1;2;3;7;2;1;4;;1;2;1;;;177
5 Jan;;2;2;3;;3;19;;8;53;54;1;8;1;2;;2;2;5;8;1;2;2;6;3;5;2;;1;;;1;2;;;198
6 Jan;;7;;3;2;4;16;;11;48;54;;5;;;2;;1;3;2;;3;2;4;;17;1;;;;;1;1;;;187
7 Jan;3;5;9;3;2;4;21;2;2;47;68;;7;;1;;2;;3;6;4;2;1;8;1;17;1;;;;1;4;;;;224
8 Jan;;4;1;;3;7;24;1;4;57;73;;8;2;2;;;;;4;4;4;1;7;1;15;5;1;;1;2;1;;1;;233
9 Jan;1;4;6;;1;7;27;;6;22;66;;7;1;2;1;;;4;5;1;1;2;7;4;6;7;;2;1;1;1;1;;;194
10 Jan;1;3;5;4;1;9;31;3;8;17;61;;4;4;;2;1;;1;3;2;1;;7;;3;3;;1;;1;2;3;1;;182
11 Jan;;4;4;1;2;9;31;;11;31;70;;11;2;2;1;;3;3;;7;3;1;2;6;5;2;;1;;;1;1;;;214
12 Jan;5;6;2;;4;3;34;;15;99;65;;8;1;1;2;2;2;1;8;2;1;1;2;9;13;2;2;;1;;4;7;;;302
13 Jan;2;6;6;3;;5;45;1;11;94;71;;3;2;2;1;2;;4;5;1;4;1;7;;17;5;;;1;2;1;4;;;306
14 Jan;2;2;5;2;;8;43;;11;88;69;;14;1;2;;1;;2;3;3;2;2;7;4;13;1;;;;1;3;6;;;295
15 Jan;;1;6;4;3;1;18;35;;27;32;63;;8;1;3;2;1;5;6;5;;;;8;1;5;2;;;;;;1;;238
16 Jan;1;3;4;1;1;12;32;2;42;68;54;;8;3;2;2;;;5;5;3;1;3;12;;8;5;;;;;;6;;;283
17 Jan;;1;10;1;;9;33;;11;42;57;;13;1;2;1;2;6;4;3;3;3;;2;4;9;1;;;;;1;1;;;220
18 Jan;3;4;;2;1;6;36;;28;83;78;;8;2;2;1;2;1;6;;;4;;5;3;7;6;;1;1;1;;3;1;;295
19 Jan;;6;3;1;;1;40;;24;104;89;;9;2;2;;;2;6;3;1;1;;1;1;6;4;1;;;;;;1;;308
20 Jan;1;6;;3;1;13;33;;13;70;78;;11;3;2;1;1;;3;6;2;2;;4;2;2;5;;1;;;1;3;;;267
21 Jan;;5;5;5;1;9;30;;73;101;60;;11;;2;2;2;3;6;7;2;1;1;2;2;5;5;;1;1;;4;;;;346
22 Jan;;8;10;1;1;5;41;1;8;28;71;;9;4;3;3;2;1;5;3;11;4;1;4;8;4;1;2;;;;1;10;;;250
23 Jan;;8;6;1;;8;31;;16;18;59;;11;2;3;2;;1;1;;1;1;;1;2;19;7;;;;3;2;6;2;;211
24 Jan;;3;1;2;;9;39;;8;3;56;;7;2;3;2;;;;;2;2;2;6;2;14;5;2;;;;;1;;;171
25 Jan;;10;8;;;15;43;;2;126;59;;7;2;3;;;;1;;5;4;;1;;3;2;1;1;;;;4;;;297
26 Jan;;9;2;1;1;6;46;;13;112;74;;9;;2;2;1;;5;;8;2;;9;3;9;9;;1;;;2;8;2;;336
27 Jan;;5;2;;;15;34;1;106;108;68;;7;;3;2;1;;5;3;3;3;1;4;2;3;2;;;1;1;3;3;1;;387
28 Jan;;8;3;;;9;40;;200;81;57;;6;;2;4;2;4;3;2;28;3;1;5;3;3;1;;;;2;3;5;1;;476
29 Jan;;7;;2;;3;44;1;5;23;52;;8;2;3;1;;3;2;4;4;2;1;4;1;4;2;;1;1;2;;4;1;;187
30 Jan;;5;;1;;7;30;;27;18;63;1;11;;2;5;;1;2;1;3;2;;5;6;7;2;;;;1;3;7;;;210
31 Jan;;9;10;1;1;14;42;3;62;25;51;;9;3;3;3;2;4;3;2;6;1;;1;1;5;1;;;2;;3;3;;;270
1 Feb;;6;11;1;;7;45;;5;80;59;;14;2;3;1;3;1;1;2;2;2;1;4;10;10;3;1;;;;2;1;2;;279
2 Feb;1;6;22;;;6;44;;48;58;55;;8;2;2;1;2;;3;10;9;3;3;;5;8;1;2;;;;1;2;2;;304
3 Feb;;6;;1;;4;44;2;10;7;58;;13;1;3;5;;4;3;3;2;5;;5;2;7;1;1;1;;;;1;;;189
4 Feb;;9;;;1;6;40;1;10;80;39;;4;2;3;1;;;;2;6;3;;3;5;6;5;1;;;;;3;1;;231
5 Feb;;8;2;1;;2;45;;28;13;52;;11;3;3;1;;2;3;1;2;4;;3;1;11;3;1;;;;;1;;;201
6 Feb;;12;8;1;;4;44;1;4;9;46;0;23;1;4;;1;2;8;1;1;2;;3;2;3;3;;;;;1;5;2;;191
7 Feb;;9;1;1;;3;44;;2;15;38;1;11;1;3;2;;;2;1;8;;;10;1;2;3;;1;;;2;2;;;163
8 Feb;1;10;8;3;3;13;43;;12;6;52;;;2;3;2;2;2;2;;16;3;;6;1;9;1;1;1;;;1;4;;;207
9 Feb;;7;2;1;;4;50;;17;48;43;1;9;;3;5;2;2;1;;2;2;4;1;;4;3;1;;;;;1;;;213
10 Feb;;10;;;;7;43;;16;5;39;;23;1;;;;1;2;2;5;4;1;;4;8;3;1;2;;2;;12;;;191
11 Feb;;12;;3;;3;51;;18;13;61;;9;2;3;3;;;2;5;2;2;1;1;6;6;3;1;;1;;1;5;;;214
12 Feb;;8;;1;;8;50;1;5;21;120;;13;;3;3;;1;5;3;1;4;1;5;1;9;3;;;;1;1;6;1;;275
13 Feb;2;14;;1;;7;53;;2;109;45;;10;2;3;1;;;1;;1;;;11;5;5;2;;2;;;1;3;;;280
14 Feb;;8;1;0;0;8;43;0;4;68;50;0;17;0;4;0;0;1;2;0;2;4;2;13;3;1;1;0;0;7;0;2;6;;;247
15 Feb;;9;;;;5;55;;5;26;51;;7;3;4;3;;;1;4;;5;;;2;1;2;;;;;;;1;;184
16 Feb;;9;2;2;1;4;49;;14;66;55;;3;;3;2;;;1;2;;3;;4;;1;4;;;;;1;3;;;229
17 Feb;;12;;2;;10;47;1;3;43;34;;9;;4;;1;;4;1;;5;;6;3;;3;;;;;1;3;;;192
18 Feb;;8;1;1;;10;32;2;9;23;53;;11;7;2;1;;;5;;;4;1;;2;1;2;1;;1;;;2;2;;181
19 Feb;;13;;1;;5;6;;25;31;43;;15;;1;2;2;;2;2;;5;;4;5;9;3;;1;;;2;6;;;183
20 Feb;;7;2;1;;3;40;;5;18;36;1;18;1;2;;1;;1;2;;2;;6;;1;6;;1;2;1;2;4;1;;164
21 Feb;;8;2;1;1;8;55;1;4;12;34;;12;;4;;4;;7;;;3;;;3;5;1;;;;3;1;3;1;;173
22 Feb;;6;;;;7;40;;16;41;45;;14;2;3;2;;;4;;2;5;;2;1;7;2;;;;;;3;;;202
23 Feb;;10;1;1;;10;45;;23;142;45;;7;2;4;4;;1;5;1;;6;1;;2;2;3;1;;2;;;3;2;;323
24 Feb;;7;;2;;6;51;;7;75;40;;14;2;3;;1;;2;;;1;;3;1;3;2;;;;;;20;;;240
25 Feb;1;7;;1;;3;40;1;73;64;34;;9;1;3;3;;1;1;1;1;4;1;3;1;2;2;;;1;;2;2;2;;264
26 Feb;;9;2;1;;4;43;;7;130;32;;7;1;2;1;;;1;;1;5;;4;4;4;4;;;;;1;4;1;;268
27 Feb;1;6;1;1;;9;44;;5;66;24;;7;2;4;;;;1;;;3;;3;3;1;4;1;;;;;7;2;;195
28 Feb;;3;;;;4;42;;51;14;29;;5;2;2;2;1;3;6;1;;5;1;;2;7;2;;;1;;1;1;;;185
1 Mar;;8;1;1;;4;45;1;4;14;30;;10;4;4;;1;1;4;3;3;1;;3;;6;2;;;;2;1;5;1;;159
2 Mar;;8;;;;4;43;1;49;7;32;;12;2;1;1;;;;3;;3;3;10;1;8;1;;;;1;;3;;;193
3 Mar;3;8;;;;7;41;;49;22;33;;7;1;3;1;;;3;1;;4;;7;1;6;3;;;;;1;2;;;203
4 Mar;;17;;;;5;43;;45;13;26;;5;;4;;;1;1;1;;2;1;2;1;2;4;;;;;1;2;;;176
5 Mar;;6;;;;;45;1;7;11;19;;7;1;4;2;;1;1;1;1;4;2;7;1;4;1;;;;;;3;;;129
6 Mar;;5;13;1;;5;44;;1;1;20;;4;2;4;;;1;1;1;2;3;;4;;;4;;;;1;2;8;1;;128
7 Mar;;2;1;3;2;4;45;1;2;1;18;;9;2;2;2;;;5;;;2;;1;1;;3;;;;2;1;2;1;;112
8 Mar;;5;;1;1;6;48;;72;80;31;;6;4;4;1;1;1;1;1;;3;1;3;;2;2;1;1;1;;;4;;;281
9 Mar;;7;1;1;;2;45;1;50;44;30;;6;;4;;;;3;3;;6;;1;0;0;3;;;;1;;2;;;210
10 Mar;;7;6;;;6;45;;24;27;28;;9;;2;;;;8;1;;;;2;2;3;2;;;;1;;2;;;175
11 Mar;;4;;1;;1;25;;6;12;22;;9;;2;2;;;5;;;2;;2;;5;1;1;;;14;;2;1;;117
12 Mar;1;12;3;4;;;30;;43;25;23;;9;;3;;;1;;4;;4;;5;1;8;4;;;;;;;;;180
13 Mar;;5;;1;;3;30;1;2;4;22;;2;;4;;1;;3;3;;2;1;3;;2;3;;;;;1;7;;;100
14 Mar;;;6;;;4;36;;6;1;20;;6;;4;1;;;1;2;;3;;;;2;4;;1;;;;;;;97
15 Mar;;8;30;2;;3;16;;20;11;24;;4;;4;;1;1;2;;;5;;3;2;6;1;2;1;;;;1;;;147
16 Mar;;8;3;1;1;6;25;;35;30;28;;9;;4;3;;;4;3;;2;1;1;2;4;3;1;1;1;;;3;1;;180
17 Mar;;8;14;;;1;17;;36;29;26;;2;;4;1;1;;1;1;1;5;;2;1;2;1;;1;1;;;6;1;;162
18 Mar;;8;8;4;1;6;23;;44;65;29;;11;;4;1;1;;2;;;1;;5;1;8;1;;;1;;;3;;;227
19 Mar;;9;3;1;;3;21;1;34;51;40;;5;;4;1;;;1;2;;2;;1;1;2;7;1;;;1;;6;;;197
20 Mar;;6;11;1;;5;22;;7;2;26;;2;1;3;;;2;2;1;;3;;2;2;6;3;;;1;;;;;;108
21 Mar;;3;1;3;;4;11;;21;4;24;;8;;3;;;;1;2;;3;1;;3;7;;;;;2;;1;1;;103
22 Mar;;4;3;3;;4;20;;48;16;27;;6;7;3;;1;1;1;;;2;;1;2;6;4;;;;;;2;;;161
23 Mar;1;12;11;1;;3;11;;41;18;28;;2;;3;2;;;3;2;;;;2;4;2;3;;;;;;5;;;154
24 Mar;2;11;;;1;4;11;;7;23;21;;6;4;3;;1;;3;;;1;;;6;3;5;;;1;;2;1;2;;118
25 Mar;3;6;1;2;;1;12;;12;13;22;;9;;3;1;;;1;;;;;2;1;1;7;1;;;;;;;;98
26 Mar;;6;9;;1;8;11;3;1;2;25;;6;;3;1;2;;2;;;1;;;2;1;;;;;;;1;;;85
27 Mar;2;5;;3;;11;18;1;102;6;19;;3;;4;2;;3;2;3;;3;1;;;4;3;;;;;;2;1;;198
28 Mar;;5;;2;;6;23;;7;;18;;4;;4;;;;4;1;;2;;1;;5;1;;;;;;2;;;85
29 Mar;1;7;;2;;6;22;1;6;39;26;;3;;4;1;;2;3;;;1;;;;1;5;;;;1;;1;;;132
30 Mar;;9;50;3;1;5;4;;8;19;33;;9;4;4;;;4;2;1;;2;;;;5;2;;;;1;;6;1;;173
31 Mar;;6;;3;;4;13;;6;11;35;;2;1;4;1;;;1;;;3;;;;2;5;;;1;;1;5;;;104
1 Apr;;9;15;2;2;5;5;;75;14;25;;11;1;4;2;;;6;3;;2;;;3;2;6;;;1;1;;1;1;;196
2 Apr;;6;10;;;3;9;1;5;10;27;;4;;4;;1;;5;2;1;1;;;;4;4;;;;;;;;;97
3 Apr;;5;15;1;;7;5;;5;;18;;10;3;5;1;;;;1;1;3;;;2;5;4;;;;;;;;;91
4 Apr;;4;338;2;;2;5;;4;28;22;;6;1;;;;1;2;1;;1;;;;2;6;;;1;;;;1;;427
5 Apr;1;6;;2;;1;5;;5;56;30;;6;2;4;1;;2;4;3;;;;3;1;2;8;;2;;1;;;1;;146
6 Apr;1;10;;2;;7;10;;69;3;30;;4;;4;1;;1;;4;;5;1;;1;;5;;;2;;1;;1;;162
7 Apr;;2;;1;;1;11;;2;2;35;;6;2;3;1;1;;6;2;;1;;;2;1;4;;;3;;;1;;;87
8 Apr;1;10;;;1;5;10;;13;39;27;;17;1;6;;2;1;3;8;1;2;;;2;2;6;;;1;2;;3;;;163
9 Apr;1;11;4;2;;6;10;;22;26;14;;1;2;6;1;1;;3;2;;1;;2;1;;4;;;;;;1;;;121
10 Apr;3;6;2;2;;7;7;;7;;28;;5;5;4;;1;;6;5;;2;;1;1;2;1;;;;;;;;;95
11 Apr;;1;1;2;2;6;7;1;5;23;22;;7;;;;;;;1;;2;;;1;;5;;;;1;;;;;87
12 Apr;2;7;2;2;;3;7;;25;15;34;;7;1;4;;2;;3;2;;3;;;;;6;;;;;1;;;;126
13 Apr;;7;1;;;7;6;;23;15;32;;1;;4;1;1;1;6;4;;2;;;1;;7;;3;1;;;;3;;126
14 Apr;;3;1;;1;5;7;;17;21;21;1;3;14;1;;;;4;3;;3;;;;3;11;;;;;;1;3;;123
15 Apr;1;5;1;2;1;5;6;;42;36;26;;5;1;6;;;;5;5;;1;;;1;2;10;;;;;;5;1;;167
16 Apr;;6;3;2;;6;18;;5;28;22;1;1;;6;1;2;1;1;4;;3;;2;4;;6;;;;;2;;;;124
17 Apr;1;8;9;2;2;9;18;2;9;2;26;2;4;6;3;;;4;7;7;;1;;;1;;6;;;;;;2;1;;132
18 Apr;1;10;;1;;6;13;;9;8;16;3;3;2;2;;;;2;3;;1;;;2;4;8;;;1;;;1;;;96
19 Apr;1;8;1;3;1;6;14;2;8;16;30;;7;1;4;1;1;;15;3;;3;;1;;6;9;;;1;;;;1;;143
20 Apr;6;8;1;3;1;4;14;1;15;70;34;2;4;1;4;4;;;7;6;;2;2;;1;3;14;;;;;;2;1;;210
21 Apr;2;8;2;;;9;12;;44;83;28;;2;2;5;;2;;7;8;;1;1;3;3;2;4;;1;;;;;1;;230
22 Apr;2;9;1;2;;8;11;2;28;37;24;;3;1;5;;1;1;7;1;;1;;5;2;1;12;;;;;;1;;;165
23 Apr;2;10;2;1;2;5;18;;23;45;24;;3;;2;;;;12;3;1;5;;3;;2;11;;;;;;;;;174
24 Apr;5;3;;2;;4;12;;23;54;18;;2;3;5;;2;;3;6;;;;1;;1;9;;;;;;1;;;154
25 Apr;2;5;2;1;3;5;14;1;7;;18;1;9;;2;;1;;6;2;;4;;;1;;8;;;2;;;;;;94
26 Apr;3;6;1;4;;2;14;2;16;53;23;;4;1;5;;4;;9;5;1;1;;;1;7;14;;;;;1;;;;177
27 Apr;;10;;5;1;5;17;2;17;41;24;;5;1;5;;2;1;7;5;;2;;;;3;11;;;1;;;3;;;168
28 Apr;4;10;;5;;5;14;3;14;57;23;;5;2;1;;2;1;6;4;;2;;;2;2;11;;1;3;;;;;;177
29 Apr;3;6;;2;;2;23;3;25;74;25;1;4;4;3;;1;9;9;6;;1;;1;1;2;10;;;;;;3;;;218
30 Apr;1;3;10;3;;1;4;;29;75;22;;2;2;;;;;3;2;;1;;3;4;1;14;;;2;;;5;;;187
1 May;2;11;;2;;4;15;4;5;20;19;1;1;1;5;;1;;6;8;;4;1;;2;;15;;;;;;;4;;131
2 May;7;6;2;4;1;5;10;2;7;18;27;1;5;3;4;;;1;8;6;3;2;1;;1;;16;;;;;1;2;1;;144
3 May;1;8;;1;;5;20;1;16;31;20;;5;;;;;2;9;5;1;1;1;;2;1;18;;;2;;;1;2;;153
4 May;5;9;4;2;1;11;18;4;24;27;31;4;4;;6;;3;6;13;5;;;;;1;3;7;;;;;;;;;188
5 May;6;7;3;1;1;6;12;3;25;60;27;5;5;;2;2;;12;7;5;;2;;;3;1;15;;;;;;2;;;212
6 May;1;9;1;1;;5;21;2;6;13;25;;3;;2;;11;;5;10;;4;2;;;3;20;;;;;;3;;;147
7 May;4;8;;1;;11;20;2;35;12;22;;7;;1;;;1;7;7;;1;;;;4;17;;;;;;6;1;;167
8 May;4;8;4;6;;10;26;3;4;54;19;2;3;2;3;;;;10;3;1;3;;;1;2;7;;;;;;4;;;179
9 May;6;5;;3;;10;16;2;8;40;17;2;2;;3;;;;7;11;1;2;;;;6;26;;;;;;2;1;;170
10 May;5;7;4;;;5;22;1;16;76;21;;2;4;2;;;2;6;11;;4;;;3;1;14;;;;;;;;;206
11 May;2;11;1;1;;5;20;1;18;80;31;2;2;9;2;;2;2;8;3;;2;;;1;18;24;;1;;;;1;;;247
12 May;3;3;;2;;8;13;;22;24;22;2;1;1;2;;;;4;9;11;3;1;;1;5;12;;1;;;1;1;;;152
13 May;1;5;;2;;4;15;;10;1;11;2;2;;2;;12;;5;;1;1;;;;5;14;;;;;;6;;;99
14 May;3;3;;;;13;16;2;2;24;15;1;1;;1;;;;5;;1;2;;;;1;16;;;;;;1;;;107
15 May;2;3;;2;1;5;15;1;9;35;25;1;2;7;1;;1;;7;;10;3;;;1;;12;;1;;;;;;;144
16 May;2;6;2;3;;5;18;1;6;16;16;2;2;1;3;;12;;7;6;4;4;;;1;2;6;;;1;;;;;;126
17 May;5;4;2;1;;8;25;1;26;44;25;2;4;6;4;;1;;8;10;;2;;1;2;5;21;;;1;;;4;;;212
18 May;4;5;2;2;;3;15;1;39;16;21;2;3;4;5;;2;1;8;7;;2;1;;2;5;18;;;3;;;1;;;172
19 May;9;9;1;2;;10;19;;8;54;32;2;2;;4;;;1;11;5;;1;1;;;2;17;;;1;;;1;;;192
20 May;3;4;1;2;;10;20;7;14;69;21;2;1;;3;;;1;12;7;2;1;;;3;23;11;;;;;;1;;;218
21 May;9;1;2;1;;10;16;5;16;43;16;2;5;3;2;;9;5;7;10;;4;;1;;;17;;;2;;;;;;186
22 May;6;4;4;1;0;6;12;3;15;31;16;2;;;;;;;6;8;1;6;;3;1;;6;;;1;;;;;;132
23 May;6;2;2;;;6;12;;6;22;16;1;1;;3;1;;;11;9;;3;;1;;6;12;;;1;;;2;;;123
24 May;8;1;1;;1;7;10;3;19;14;20;;1;1;1;;1;;6;1;;2;;1;1;1;24;;;2;;;1;;;127
25 May;9;5;2;5;1;10;14;2;13;28;22;2;6;2;2;1;2;;11;8;;4;;;;3;19;;1;;;;;;;172
26 May;4;4;;2;;6;11;;10;24;20;2;2;1;2;;3;5;8;3;;3;;;2;2;27;;;2;;;1;;;144
27 May;7;3;2;2;;7;18;3;15;5;24;2;1;3;2;;;1;5;4;7;2;;2;;5;14;;1;1;;;;;;136
28 May;8;8;2;7;;4;19;2;18;45;19;1;3;1;2;;8;1;2;11;;3;;1;1;4;19;;;2;;;2;;;193
29 May;7;3;3;2;;9;12;7;7;20;19;2;1;2;3;1;8;1;12;10;;5;;;4;1;19;1;;1;;;;2;;162
30 May;3;2;;;1;12;13;2;10;9;17;3;3;2;1;;7;10;7;15;;1;;1;;1;21;;;;;;1;;;142
31 May;15;2;2;;2;7;19;4;24;22;29;;2;1;1;;;7;7;2;;6;;;;2;18;;;;;;2;;;174
1 June;1;1;1;1;;9;12;2;10;23;22;2;;;2;;22;4;7;9;;1;;;;3;13;;;;;;;;;145
2 June;2;1;;4;1;4;20;;22;42;28;2;5;1;3;;8;7;8;1;;;;;4;3;16;;;2;;1;;;;185
3 June;7;1;3;;;7;21;0;26;28;25;3;1;7;3;;13;4;6;6;;;;1;2;9;13;;;;;;1;;;187
4 Jun;9;3;3;3;1;5;20;5;24;53;22;3;1;2;3;;;4;8;3;;5;;1;;2;17;;1;;;;3;;;201
5 Jun;3;;2;3;;6;22;2;16;18;26;2;;1;3;;2;4;5;8;;7;;;;2;18;;1;;;;2;;;153
6 Jun;2;1;;3;;5;20;2;15;40;20;2;6;2;4;;2;4;12;4;;3;;;2;1;9;;1;;;;3;;;163
